연번 ,업소명(상호),영업장소재지,경도,위도,위생등급,지정번호,관할기관,지정일자
601,킹콩부대찌개&밥볶다 하단아트몰링점,부산광역시 사하구 낙동남로 1413(15층 하단동),128.966874,35.10681916,매우우수,HG220010411,부산광역시 사하구,2022-11-24
602,카츠쿠라 아트몰링점,부산광역시 사하구 낙동남로 1413(15층 하단동),128.966874,35.10681916,매우우수,HG220010336,부산광역시 사하구,2022-11-24
603,북창동순두부 부산하단아트몰링점,부산광역시 사하구 낙동남로 1413(14층 하단동),128.966874,35.10681916,매우우수,HG220010335,부산광역시 사하구,2022-11-24
604,시월애도토리 하단CGV점,부산광역시 사하구 낙동남로 1413(아트몰링 14층 하단동),128.966874,35.10681916,매우우수,HG220010431,부산광역시 사하구,2022-11-24
606,소요리,"부산광역시 사하구 다대낙조1길 12(2층 204호 다대동, 다대대우아파트)",128.967713,35.04978906,우수,HG220008477,부산광역시 사하구,2022-10-06
608,kim's키친,부산광역시 사하구 장림시장7길 139(1층 장림동),128.9685513,35.07988061,매우우수,HG230005611,부산광역시 사하구,2023-08-07
612,동원장수촌 하단점,"부산광역시 사하구 동매로 117(B201호 하단동, 건우리안)",128.9710282,35.10194534,우수,HG190002219,부산광역시 사하구,2021-12-09
613,팔사족발,부산광역시 사하구 다대로577번길 31(1층 다대동),128.9712053,35.05588173,매우우수,HG220007992,부산광역시 사하구,2022-09-21
617,더블유(W)라운지(장림지점),"부산광역시 사하구 장림번영로104번길 10(1층 115호 장림동, 사하장림역스마트W아파트)",128.9763406,35.08020566,우수,HG230000320,부산광역시 사하구,2023-02-01
618,정직유부 장림점,부산광역시 사하구 다대로 262(1층 장림동),128.977061,35.07900999,매우우수,HG230008984,부산광역시 사하구,2023-11-14
619,마라헌터(장림다대점),부산광역시 사하구 다대로271번길 7(장림동),128.9779744,35.07836261,매우우수,HG220009622,부산광역시 사하구,2022-11-04
623,황궁쟁반짜장,부산광역시 사하구 낙동대로356번길 10(당리동),128.9792954,35.10169847,좋음,HG230001795,부산광역시 사하구,2023-04-06
628,오유미당 부산사하점,"부산광역시 사하구 낙동대로 280(303동 B109호 괴정동, 사하역 비스타 동원)",128.9842561,35.10011683,매우우수,HG230007671,부산광역시 사하구,2023-10-16
629,복합식당,부산광역시 사하구 서포로30번길 9(202호 구평동),128.9859834,35.08236303,우수,HG220002141,부산광역시 사하구,2022-04-04
633,정's 왕짬뽕,부산광역시 사하구 괴정로 288-1(괴정동),128.9928534,35.09635987,좋음,HG220009703,부산광역시 사하구,2022-11-04
634,치킨신드롬감천점,부산광역시 사하구 감천로 9(감천동),128.9941742,35.09223861,매우우수,HG220010130,부산광역시 사하구,2022-11-16
639,재성밀면(감천점),부산광역시 사하구 감천로 61(감천동),128.9994458,35.09014901,매우우수,HG190001738,부산광역시 사하구,2023-11-15
643,구포수미아구찜,"부산광역시 사하구 다대로 109(상가동 112호 신평동, 신평한성임호아파트)",128.9794807,35.0924395,매우우수,HG220009369,부산광역시 사하구,2022-11-01
645,컨트리맨즈 아트몰링점,부산광역시 사하구 낙동남로 1413(17층 하단동),128.966874,35.10681916,좋음,HG220010432,부산광역시 사하구,2022-11-24
646,미카도스시 아트몰링점,부산광역시 사하구 낙동남로 1413(15층 하단동),128.966874,35.10681916,매우우수,HG220010378,부산광역시 사하구,2022-11-24
649,요달의찜닭,"부산광역시 사하구 다대로277번길 56(103동 상가108호 장림동, 동원타워맨션)",128.980664,35.07588001,우수,HG220009009,부산광역시 사하구,2022-10-20
651,아토,부산광역시 사하구 다대동로 31(다대동),128.9715524,35.05650092,매우우수,HG220008489,부산광역시 사하구,2022-10-06
652,장미돼지국밥,부산광역시 사하구 오작로8번안길 7(B101호 괴정동),128.9957047,35.09723786,매우우수,HG220010090,부산광역시 사하구,2022-11-15
654,홍대개미 아트몰링 하단점,부산광역시 사하구 낙동남로 1413(아트몰링 15층 하단동),128.966874,35.10681916,매우우수,HG220010412,부산광역시 사하구,2022-11-24
655,동궁찜닭,부산광역시 사하구 다대로 435(지하2층 다대동),128.9797791,35.06424091,매우우수,HG230006777,부산광역시 사하구,2023-09-12
656,우리할매떡볶이 다대점,"부산광역시 사하구 다대낙조1길 12(상가동 203호 다대동, 다대대우아파트)",128.967713,35.04978906,매우우수,HG220002257,부산광역시 사하구,2022-04-08
657,불끈낙지,부산광역시 사하구 낙동대로 529(낙동오피스텔 2층 하단동),128.9646784,35.11131668,매우우수,HG220001793,부산광역시 사하구,2022-03-23
659,강다짐 다대포점,"부산광역시 사하구 다송로 23(상가동 106호 다대동, 다대 롯데캐슬 블루)",128.982827,35.06607313,매우우수,HG220002620,부산광역시 사하구,2022-04-19
660,The 든든한밥상,부산광역시 사하구 다대낙조2길 15(2층 206호 다대동),128.963606,35.05102069,좋음,HG230007678,부산광역시 사하구,2023-10-16
662,레스피로(RESPIRO),부산광역시 사하구 다대낙조2길 85(506호 다대동),128.9614145,35.05295812,매우우수,HG230002673,부산광역시 사하구,2023-05-08
663,백철판 부산하단점,부산광역시 사하구 낙동남로 1413(아트몰링 15층 하단동),128.966874,35.10681916,우수,HG220001827,부산광역시 사하구,2022-03-23
664,애슐리퀸즈 NC부산대점,"부산광역시 금정구 부산대학로63번길 2(6층 장전동, 엔씨백화점 부산대점)",129.0838238,35.23223941,매우우수,HG230004618,부산광역시 금정구,2023-07-10
665,피자와썹,"부산광역시 금정구 금강로 225(108,109호 장전동)",129.0819081,35.23027353,좋음,HG230002844,부산광역시 금정구,2023-05-16
666,와커피 부산대점,부산광역시 금정구 수림로85번길 61(장전동),129.0831085,35.23710425,매우우수,HG220007408,부산광역시 금정구,2022-09-02
667,빅스타피자,"부산광역시 금정구 수림로72번길 21(212동 106호 장전동, 금정산2차쌍용예가아파트)",129.0841752,35.24047486,우수,HG220008032,부산광역시 금정구,2022-09-27
668,금정시골추어탕,부산광역시 금정구 금샘로 431(1층 구서동),129.0840825,35.26154989,우수,HG200000328,부산광역시 금정구,2022-01-30
670,카페 후고(JUGO),부산광역시 금정구 부산대학로64번길 14(장전동),129.084527,35.23225113,매우우수,HG220004836,부산광역시 금정구,2022-06-24
672,맘:비어,부산광역시 금정구 장전로 40(덕암빌딩 1층 장전동),129.0847368,35.22903132,매우우수,HG230006571,부산광역시 금정구,2023-09-05
673,샤브향 남산점,"부산광역시 금정구 금샘로 533(1,2층 남산동)",129.0850073,35.26990635,매우우수,HG220000767,부산광역시 금정구,2022-02-11
675,스몰굿커피 부산대,부산광역시 금정구 금강로 248-6(장전동),129.0851024,35.23009167,매우우수,HG220007481,부산광역시 금정구,2022-09-06
676,카페모닉,부산광역시 금정구 수림로72번길 72(1층 장전동),129.0856366,35.24295856,매우우수,HG220004940,부산광역시 금정구,2022-06-28
679,히컵커피(Hiccup coffee),부산광역시 금정구 수림로49번길 42(장전동),129.086835,35.23808035,매우우수,HG210009570,부산광역시 금정구,2023-10-13
683,호삼정,부산광역시 금정구 금정로60번길 27-3(장전동),129.087779,35.2297972,매우우수,HG230004830,부산광역시 금정구,2023-07-17
684,찌웅이네 숯불두마리치킨,"부산광역시 금정구 금강로 465(상가동 103호 구서동, 일화아트빌라)",129.0879021,35.24886925,좋음,HG220009149,부산광역시 금정구,2022-10-25
688,마파람해물찜해물탕 구서본점,부산광역시 금정구 금강로 418(2층 구서동),129.0885834,35.24476185,매우우수,HG220006182,부산광역시 금정구,2022-07-29
689,다복집,부산광역시 금정구 장전온천천로 37-1(장전동),129.0887613,35.22849938,매우우수,HG230006638,부산광역시 금정구,2023-09-06
690,금정산숯불갈비,부산광역시 금정구 구서중앙로15번길 20(1층 구서동),129.0890569,35.25387051,좋음,HG230007920,부산광역시 금정구,2023-10-23
691,샐러디움,부산광역시 금정구 남산로 28(산정빌딩 1층 남산동),129.0893657,35.26707287,매우우수,HG230008056,부산광역시 금정구,2023-10-30
